Group,Text,Submissions,Agreement
00639b9b-3a45-4c59-90f6-a4738de92fd4,"['Hello', 'hi', 'Hello', 'hw r u', 'I think we need to check A obviously', 'But I also think we need to check 7 to make sure there is no vowel under it', 'I think V need to be checked', 'Yes A', 'Why check V?', 'nothing', 'Under A it must be even number same with 2', 'yes', 'And if 7 has a voewel it can disprove the rule', 'ok I go with A or 2', 'ok I will go A', 'It doesn;t matter what is under 2', 'The rule says vowels have 2s. it does not say ONLY voewls have 2s', 'A is vowel', 'I am checking 7 becuase if it is a vowel it disproves the rule.', 'Ok You carry on', 'every vowel has even number so If we check 2 we can approve the rule', 'yes', 'vote only one now we go with majority', 'yes', 'A 7', 'A 2', 'select card required to verify rule', 'I go 2', '@ cat 7 not enough to verify', '2 is enough', 'Yes', 'shall we go with 2 @Cat']","{'cards': ['2', '7', 'V', 'A'], 'Cat': ['7', 'A'], 'Kiwi': [], 'Dolphin': ['2']}",-0.2222222222222221
0128a2aa-53a2-4874-8bfe-b71ce287e7c2,"['one guess looks as good as any for now', 'Since one card has the number 2, the other side will have a vowel.', 'I flipped 3 and U', 'I chose to turn 2 and U because that should test the rule.', '@ doesnt test the rule.', 'I suck at puzzles', 'The rule doesnt say that consanants cant have even numbers', 'And since U is a vowel, an even number will be on the other side.', 'maybe you only need to flop u', 'I am flipping 2 and U -- I agree with Cat.', '3 and U', '2 and U sound like a plan to me', 'All vowels have even numbers on the other side, but do all even numbers have to have vowels on the other side?', 'And you flip the 2 and it is a consanant. WHat have you proved?', 'Yes, I think you have to flip 2 and U to test the rule.', ""'that the rule isn''t true'"", 'It says ""test the rule."" Where are you getting true?', 'The rule is all vowels have even numbers, not all even numbers have vowels', 'good [point', ""'I don''t see why the vice versa is not applicable here.'"", 'me iether', 'So, by flipping U we see if a vowel has an even number', 'TRUE', 'Yes, that is what I am gathering.', 'by flipping 3 we see if an odd number has a vowel or consanant', 'me too', 'Or not ... nothing is proven about even numbers by flipping an odd one', 'we only need to flip U to see if it has an even number', 'Hmm', '?', 'We need to flip both 2 and U.', 'pondering the imponderable here', '2 and U is my vote', ""'I think it''s quite straightforward. Let''s not make it more complicated than it needs to be.'"", 'maybe both 3 and 2', ""'I don''t see where 3 applies.'"", 'vote now', 'Wait, yes I do, if 3 has a vowel, then all vowels do not have even numbers.', 'so, U & 3', 'My first thought but now I am confused', 'U and 3 is all the same for me', 'look at the bright side: most everyione gets this wrong anyway', 'I guess so', 'Lol', 'whoi are we to fly in the face of tradition?', 'According to the rule, U should have an even number, and 3 should have a vowel.  If we flip them, we should see if the rule applies.', 'NO....3 should have a consonant!!', 'But it doesnt say how many we should flip', ""'I''m confused too now!!'"", 'we could only need 1 card flipped too', 'I want to see what is uner the 2 also', 'vote now', 'let the gods decide', 'U & 3', 'U3', 'u,2,3', 'ok U23', 'u23', 'I am easy', 'If its wrong, oh well. We tried', 'may the Force be with oyou all!', 'ok!', 'ok, bye', 'hagd']","{'cards': ['3', '2', 'U', 'H'], 'Unicorn': ['2', 'U'], 'Bat': ['3', '2', 'U'], 'Cat': ['3', 'U'], 'Chipmunk': ['3', '2', 'U']}",0.5
01acf3e3-714c-4d53-9b74-9170a645bcd0,"['the obvious answer would be to chhose A and 6', 'what do you think', 'I agree. If A = even then 6 should be a vowel', 'yes, it would I think its 3 and A because a is the vowel so we have to test if there would be an even number when turned over and 3 is an odd number so if it had a vowel the rule wouldnt be right', ""'Actually wouldn''t you have to turn all of the cards?'"", ""'to test the rule, we need to check the other cards don''t follow the rule'"", 'yeah to then see if there are any excetions to the rule', 'what happens now?', 'do we need to turn z?', 'z and 3 I think', 'we need to turn a over to test the vowel', 'do we not need to turn A to see if it has an even number on the other', 'yes', 'yeah, sorry', 'so which ones do we need to turn?', 'is it A, 6 and 3?', 'all of them, we need to know if the rule applies to every card', 'oh yeah sorry', 'everyone happy with that?', 'yeah deffinately', 'yeah']","{'cards': ['3', 'A', 'Z', '6'], 'Lion': ['3', 'A', '6'], 'Kiwi': ['3', 'A', 'Z', '6'], 'Beaver': ['3', 'A', 'Z', '6']}",0.0
01e7d47c-8831-4492-abb0-88f94c7b02a3,"['Hello', 'Hello!', 'hi', 'Which cards do you think we need to turn over?', 'The odd numbers and consonants are not applicable.', 'A and 4 is what I think', 'I said A & 4.', 'I would think you need to flip all the cards.', ""'That''s what I was thinking. However, there is a part of me thinking that maybe we need to overturn every card to test the rule.'"", 'What if A has an odd number under it?', 'That way we can see if there is an even number or vowel on the other cards', 'if so, then we know the rule is not true', 'Actually I think just the A would test the rule.', 'How would just A test the rule? For example, what if L has an even?', 'Why would L test the rule?', ""'but then what happens if there''s a vowel/not a vowel behind 4? that would also affect the test'"", ""'oh I see. we wouldn''t need to test L because it''s not a vowel, so it doesn''t matter what''s on the other side'"", 'oh yeah that makes sense', 'So I guess if there is a vowel on the other side of 5 and 4, then that also tests the fule.', 'So maybe A 5 and 4?', 'I think so', 'Makes sense to me', 'wait, 4 is actually irrelevant', 'because the rule is about cards with vowels on one side.', ""'Yes, you''re right'"", 'A, 5.. this is trickier than I thought', ""'it doesn''t matter what''s behind 4'"", 'yup! I am going with A and 5', 'I see, yeah, it doesnt matter if 4 is a vowel or not', ""'I''m going with A and 5'""]","{'cards': ['5', 'L', 'A', '4'], 'Kiwi': ['5', 'A'], 'Bat': ['5', 'A'], 'Falcon': ['5', 'A'], 'Narwhal': ['A', '4'], 'Hamster': ['5', 'A']}",0.6200000000000001
02972b77-c909-499e-8d4b-8920a25707f0,"['i think its 5 and e', ""'I also think it''s 5 and E'"", 'because the E can prove the rule and then the 5 could disprove it', 'How many cards can you pick?', 'You can pick 2', 'Oh', 'i think as many as you like', 'but it says must', 'Actually you could turn them all!', 'You could', 'so like you could turn g i guess but do you have to', 'for the rule', 'Wait it could be 8 and E', 'or is that too obvious', '8 and E would prove the rule', ""'i think that''s too obvious'"", 'but not turning the others seems off', 'Yeah I agree', 'We could also turn over 8', 'yeah', 'to try and also prove the rule again', ""'or do you thin it''s asking for 2? doing the smallest amount of cards'"", ""'it doesn''t specify'"", 'theoretically it could be however many you want', 'im happy with the 3', 'E, 5 and 8?', 'yeah', 'yeah', 'do we all agree?', 'Wait', 'that seems like the best guess I think', 'oh', 'Do you think it could be pointless?', 'wdym', ""'Maybe they''re wanting to see in the smallest amount possible'"", 'it says must', 'I actually do think just 5 and E?? I think that might be ideal', 'so is 8 a must then', ""'yeah i''m thinking 5 and E are definite'"", 'Yeah for sure', 'I agree', 'i feel like 8 you just could', ""'is that what we''re going for?'"", 'yeah', 'Yeah', 'okay', 'yes', 'yeah', 'Are we saying just E and 5?', 'or 8 too?', '5 and E', 'just the 2', ""'I think that''s right'"", 'so yeah']","{'cards': ['5', '8', 'G', 'E'], 'Cat': ['5', 'E'], 'Kiwi': ['5', 'E'], 'Bee': ['5', 'E']}",1.0
03714d9c-9c47-4103-9b61-ed51c76e1ef6,"['I chose the number 4 card', 'I chose 7 and 4', 'I chose U and 4', '7 & 4 work for me', 'or U & 4 work also', 'why 7?', 'What was your logic on choosing U and 4', 'a vowel and and even number', 'Why would 7 work?', ""'if 7 isn''t a vowel that would help to know'"", 'lets go with U & 4...is that ok with everyone', 'Okay', 'i guess I am not sure', 'or do we have to have the same answer', 'I agree with U and 4', 'ok lets go with u and 4', 'ok', 'ok']","{'cards': ['U', '7', 'C', '4'], 'Panda': ['U', '4'], 'Emu': ['U', '4'], 'Bee': ['U', '4']}",1.0
038c3e5e-35bf-4e26-b96d-8ff92bb8c830,"['Hi', 'Hello', 'hello!', 'so what card did everyone pick?', 'I chose A and 8', 'A and 8', 'that does seem like the most obvious solution', 'So we just final decision and submit?', 'the instructions say to converse for at least 5 minutes', 'Good catch lol', 'Our condition is proving that cards with vowels have an even number on the other side', ""'nothing about consonants, so we don''t need R for sure'"", 'Right and we dont need 9', 'But if 9 had a vowel on the other side, it would disprove our rule', ""'that''s true'"", 'Should we click 9 as well?', 'To test the rule?', ""'I''m going to do so, since we can select multiple cards'"", 'Same', 'thanks for the insight!', 'I think it might just be A and 9']","{'cards': ['R', '8', 'A', '9'], 'Bee': ['9', 'A'], 'Lobster': ['R', 'A'], 'Giraffe': ['8', '9'], 'Narwhal': ['9', 'A']}",0.0625
04edccd6-25d7-47dc-b73f-5bce9d77025b,"[""'It''s 3 and U because if you turn the 3 and it''s a vowel, then you know odd numbers become vowels and vice versa.'"", '2*', ""'Crap, I read it wrong, it''s evens.'"", ""'hi - I''ve marked only U - if there is an even number on the other side it proves the rule'"", ""'Mark 2 as well. If there''s a vowel on the other side, it also proves the rule.'"", ""'I chose U only because the rule says all card with vowels which means the other cards don''t matter -- they don''t have to follow the rule.'"", 'I agree with Raven', ""'It''s asking you to test the rule. Would it not prove that the rule is tested if the 2 turns up a vowel?'"", 'the test is all cards with a vowel', ""'Couldn''t the 2 just as easily have turned up a consonant? In which case, the 2 is not necessary to prove the rule?'"", 'Good point.', 'again - Raven - I agree', 'But would it not strengthen the correlation if we did find a vowel?', 'if U has an even number on the other side the rule is proven', 'I pose a question here.', 'Would turning over the 3 not be useful for testing?', ""'It might help, but if we didn''t find a vowel it would hurt the rule.'"", 'It would, but it does seem like that would be necessary for a proper test.', 'The question in the task implies that you only need one card to prove the rule.', 'While it does, it says most players get it wrong. The assumption then would be that the task is more complex than that.', 'if you want to turn a second card - turn 2 - if 2 has a vowel on the other side the rule is also proven', 'you turn ONLY the cards needed', '\'Agree with Tiger. You don\'\'t ""need"" to turn over the 2 to prove the rule.\'', 'Does U coming up even really prove it if other cards could show something different?', 'ONLY is key', ""'no it''s a logical exclusion'"", 'so what do we agree to?', 'I vote ""U"" only.', 'I guess what you do if it must be done, but the timer ran out, can it even be submitted?', 'I vote U only']","{'cards': ['3', '2', 'J', 'U'], 'Raven': ['U'], 'Tiger': ['U'], 'Llama': ['U']}",1.0
05627bda-cc61-43bb-833f-90e6140074dc,"['I picked the A and 6', 'Do we all have the same cards?', 'yes a and 6 seems to be right', 'A is a vowel so flipping that will determine whether the rule is true', 'a 3 6 f', 'why flip all of them @Ox', ""'that''s a possibility'"", 'Only one card has to be flipped', 'A', 'it could be more than one', ""'I guess all should be flipped to see if the rule holds true, because we don''t know what is on their other side'"", 'if its a test, then we can flip all', 'yes, I submitted flip all', ""'let''s do it all'"", ""'Why don''t we just flip A'"", 'because we need to test the rule. there could be an A on the back of the other cards', 'Only A or 6 would need to be flipped', 'we have to verify the rule so we can do it by flipping all', 'there could be a vowel on the back of 3', 'I say flip all but F', 'final decison?', 'a and 6 seem too obvious...either the first 3 or all', 'I see first 3', 'No need to flip F because its not  a vowel', 'im good with that', '@Emu  ?']","{'cards': ['3', 'F', 'A', '6'], '': [], 'Lion': ['3', 'A', '6'], 'Ox': ['3', 'A', '6'], 'Emu': ['A']}",0.12698412698412698
05b01d11-9edb-41b7-a330-cf21fa421183,"['the cards will be 8 and u', 'I would think we need to turn over the 8 to see if there is a vowel on that side.', 'because they are a vowel and 8', 'only way to see if there is truly vowel and even number', 'oh yes maybe just the u', 'I mean we could do both U and 8 but I would think 8 would be better to test the theory', 'i was thinking the u because it has to have an even number on other side', 'Anyone else have any ideas?', 'Well it does say ""cards"" we can pick both 8 and U', 'The u is the only vowel', 'Yes, but the 8 might not have a vowel on the other side, I would think we would need to test it and make sure', 'I guess it could be the 8 or U but I went with U', 'I agree', 'It never says a consonant could not have an dven number just that a vowel has an even number', 'Well in that case we could turn over the W to test the rule or the 9', 'i think the only correct answer is U', 'agreed', 'Now I see that it’s possible we could have turned over more than one card', 'I still think U is the most obvious answer', 'Okay well I am going to pick 8 and U I think', 'I still feel its U because the other two letters are not vowels and the 8 could have either vowel or consonant it never said all even numbers must have a vowel', 'Yes that is true', 'Okay lets go with U', 'Ok', 'I’m not sure how much time has elapsed but I am going eoth U', 'Are we in agreement here']","{'cards': ['W', 'U', '9', '8'], 'Giraffe': ['U'], 'Guinea pig': ['U'], 'Llama': ['U']}",1.0
